id	updated_at	exported_at	facility_id	type	date	critical_violations	non_critical_violations
200	2013-03-05 15:07:26	0000-00-00 00:00:00	159	Standard Inspection	2013-02-13	2	1
201	2013-03-05 15:07:28	2013-04-15 04:28:09	160	Standard Inspection	2013-02-27	2	7
202	2013-03-05 15:07:30	0000-00-00 00:00:00	161	Follow-up Inspection	2013-01-10	0	0
203	2013-03-05 15:07:33	0000-00-00 00:00:00	162	Standard Inspection	2013-01-04	3	1
204	2013-03-05 15:07:36	0000-00-00 00:00:00	163	Follow-up Inspection	2013-02-08	0	0
205	2013-03-05 15:07:36	0000-00-00 00:00:00	163	Follow-up Inspection	2013-01-25	1	1
206	2013-03-05 15:07:36	0000-00-00 00:00:00	163	Follow-up Inspection	2013-01-11	1	1
207	2013-03-05 15:07:38	0000-00-00 00:00:00	164	Standard Inspection	2013-01-17	1	2
208	2013-03-05 15:07:42	0000-00-00 00:00:00	165	Standard Inspection	2013-01-09	2	4
209	2013-03-05 15:07:44	0000-00-00 00:00:00	166	Follow-up Inspection	2013-02-06	0	0
210	2013-03-05 15:07:44	0000-00-00 00:00:00	166	Complaint Inspection	2013-02-05	2	2
211	2013-03-05 15:07:47	0000-00-00 00:00:00	167	Standard Inspection	2013-01-30	0	2
212	2013-03-05 15:07:50	2013-04-15 04:28:10	168	Follow-up Inspection	2013-02-21	1	0
213	2013-03-05 15:07:50	2013-04-15 04:28:10	168	Standard Inspection	2013-02-15	2	1
214	2013-03-05 15:07:52	2013-04-15 04:28:11	169	Standard Inspection	2013-02-21	0	0
215	2013-03-05 15:07:54	0000-00-00 00:00:00	170	Standard Inspection	2013-01-09	0	2
216	2013-03-05 15:07:57	2013-04-15 04:28:11	171	Follow-up Inspection	2013-02-22	2	2
217	2013-03-05 15:07:57	0000-00-00 00:00:00	171	Standard Inspection	2013-02-04	2	4
218	2013-03-05 15:08:01	2013-04-15 04:28:13	172	Follow-up Inspection	2013-02-19	0	0
219	2013-03-05 15:08:01	0000-00-00 00:00:00	172	Standard Inspection	2013-02-12	4	3
220	2013-03-05 15:08:04	0000-00-00 00:00:00	173	Standard Inspection	2013-02-12	0	0
221	2013-03-05 15:08:06	0000-00-00 00:00:00	174	Standard Inspection	2013-01-18	0	2
222	2013-03-05 15:08:09	0000-00-00 00:00:00	175	Standard Inspection	2013-01-15	4	3
223	2013-03-05 15:08:10	2013-04-15 04:28:13	176	Standard Inspection	2013-02-28	0	0
224	2013-03-05 15:08:13	0000-00-00 00:00:00	177	Follow-up Inspection	2013-01-25	0	0
225	2013-03-05 15:08:13	0000-00-00 00:00:00	177	Standard Inspection	2013-01-17	1	5
226	2013-03-05 15:08:15	2013-04-15 04:28:14	178	Standard Inspection	2013-02-20	1	2
227	2013-03-05 15:08:19	2013-04-15 04:28:15	179	Follow-up Inspection	2013-02-22	1	1
228	2013-03-05 15:08:19	0000-00-00 00:00:00	179	Standard Inspection	2013-02-07	2	2
229	2013-03-05 15:08:22	2013-04-15 04:28:16	180	Standard Inspection	2013-03-01	2	0
230	2013-03-05 15:08:25	0000-00-00 00:00:00	181	Complaint Inspection	2013-01-04	2	0
231	2013-03-05 15:08:28	2013-04-15 04:28:18	182	Follow-up Inspection	2013-02-26	0	0
232	2013-03-05 15:08:28	0000-00-00 00:00:00	182	Complaint Inspection	2013-01-25	0	0
233	2013-03-05 15:08:28	0000-00-00 00:00:00	182	Standard Inspection	2013-01-07	0	2
234	2013-03-05 15:08:30	0000-00-00 00:00:00	183	Standard Inspection	2013-01-10	3	8
235	2013-03-05 15:08:32	0000-00-00 00:00:00	184	Standard Inspection	2013-01-24	1	2
236	2013-03-05 15:08:35	0000-00-00 00:00:00	185	Standard Inspection	2013-01-24	0	0
237	2013-03-05 15:08:37	0000-00-00 00:00:00	186	Standard Inspection	2013-01-16	0	1
238	2013-03-05 15:08:39	2013-04-15 04:28:19	187	Standard Inspection	2013-02-14	0	0
239	2013-03-05 15:08:42	0000-00-00 00:00:00	188	Standard Inspection	2013-01-24	0	5
240	2013-03-05 15:08:44	0000-00-00 00:00:00	189	Standard Inspection	2013-01-16	0	0
241	2013-03-05 15:08:46	0000-00-00 00:00:00	190	Standard Inspection	2013-01-16	0	0
242	2013-03-05 15:08:48	0000-00-00 00:00:00	191	Standard Inspection	2013-01-09	2	5
243	2013-03-05 15:08:51	0000-00-00 00:00:00	192	Standard Inspection	2013-02-08	0	2
244	2013-03-05 15:08:53	2013-04-15 04:28:20	193	Standard Inspection	2013-02-19	0	1
245	2013-03-05 15:08:55	0000-00-00 00:00:00	194	Standard Inspection	2013-01-07	0	0
246	2013-03-05 15:08:58	2013-04-15 04:28:20	195	Standard Inspection	2013-03-04	0	0
247	2013-03-05 15:09:00	0000-00-00 00:00:00	196	Standard Inspection	2013-01-07	0	0
248	2013-03-05 15:09:01	2013-04-15 04:28:21	197	Standard Inspection	2013-03-04	1	0
249	2013-03-05 15:09:05	0000-00-00 00:00:00	198	Standard Inspection	2013-02-13	1	3
250	2013-03-05 15:09:07	0000-00-00 00:00:00	199	Standard Inspection	2013-01-04	3	0
251	2013-03-05 15:09:08	0000-00-00 00:00:00	200	Standard Inspection	2013-01-17	1	1
252	2013-03-05 15:09:10	2013-04-15 04:28:21	201	Standard Inspection	2013-02-20	2	4
253	2013-03-05 15:09:12	0000-00-00 00:00:00	202	Standard Inspection	2013-02-12	0	0
254	2013-03-05 15:09:14	0000-00-00 00:00:00	203	Standard Inspection	2013-02-05	0	1
255	2013-03-05 15:09:17	2013-04-15 04:28:21	204	Standard Inspection	2013-02-26	1	0
256	2013-03-05 15:09:20	2013-04-15 04:28:22	205	Standard Inspection	2013-02-14	0	1
